Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,35.150002,35.298000,32.119999,32.840000,32.840000,4090200
2018-12-14,32.619999,33.110001,32.000000,32.380001,32.380001,2632000
2018-12-17,32.130001,32.419998,30.840000,30.990000,30.990000,3452700
2018-12-18,31.120001,31.620001,30.459999,30.830000,30.830000,2832200
2018-12-19,30.580000,31.950001,30.080000,30.290001,30.290001,2640700
2018-12-20,30.139999,30.365000,27.950001,29.090000,29.090000,2921700
2018-12-21,29.160000,29.850000,27.934999,28.219999,28.219999,2589300
2018-12-24,27.900000,29.340000,27.712000,28.320000,28.320000,1028800
2018-12-26,28.530001,30.870001,28.530001,30.820000,30.820000,1407000
2018-12-27,30.400000,32.141998,30.400000,32.099998,32.099998,2511000
2018-12-28,32.189999,32.529999,30.850000,31.510000,31.510000,1541600
2018-12-31,31.629999,32.070000,30.830000,31.580000,31.580000,1882400
2019-01-02,30.889999,31.799999,30.160000,30.350000,30.350000,3321100
2019-01-03,30.350000,30.795000,29.260000,29.920000,29.920000,4542100
2019-01-04,30.410000,30.990000,30.230000,30.799999,30.799999,2395700
2019-01-07,30.930000,31.709999,30.440001,30.850000,30.850000,2342000
2019-01-08,31.059999,31.799999,29.940001,31.760000,31.760000,1900600
2019-01-09,31.700001,32.955002,31.230000,32.500000,32.500000,2161600
2019-01-10,32.369999,34.090000,31.629999,33.889999,33.889999,2865900
2019-01-11,33.730000,34.919998,33.279999,34.330002,34.330002,2459400
2019-01-14,33.799999,34.220001,33.240002,33.450001,33.450001,1198600
2019-01-15,33.689999,34.240002,33.200001,33.450001,33.450001,1543000
2019-01-16,33.470001,34.090000,32.970001,33.560001,33.560001,1464900
2019-01-17,33.520000,33.924999,33.060001,33.549999,33.549999,1716400
2019-01-18,33.650002,34.720001,33.509998,34.000000,34.000000,1983200
2019-01-22,33.570000,33.900002,31.260000,31.430000,31.430000,2042700
2019-01-23,31.719999,31.916000,30.299999,30.840000,30.840000,2072900
2019-01-24,30.930000,31.240000,30.559999,31.129999,31.129999,1880500
2019-01-25,31.420000,32.730000,31.205000,32.549999,32.549999,2469500
2019-01-28,32.000000,32.939999,31.270000,32.680000,32.680000,1393900
2019-01-29,32.450001,33.290001,32.320000,32.950001,32.950001,1488900
2019-01-30,33.299999,34.169998,32.619999,33.599998,33.599998,1858300
2019-01-31,33.730000,35.305000,33.716999,35.090000,35.090000,3693700
2019-02-01,35.119999,35.360001,34.064999,34.240002,34.240002,2008400
2019-02-04,34.410000,34.560001,33.830002,33.900002,33.900002,1558400
2019-02-05,33.889999,34.860001,33.889999,34.709999,34.709999,1747200
2019-02-06,34.610001,34.919998,33.730000,34.080002,34.080002,1968400
2019-02-07,33.570000,34.334999,32.660000,34.259998,34.259998,2796900
2019-02-08,34.000000,35.660000,33.950001,35.439999,35.439999,2647100
2019-02-11,35.490002,35.919998,34.020000,34.290001,34.290001,1888900
2019-02-12,34.650002,36.430000,34.470001,35.990002,35.990002,2833800
2019-02-13,36.040001,36.421001,35.685001,35.790001,35.790001,1358100
2019-02-14,35.759998,36.680000,35.529999,35.970001,35.970001,1980200
2019-02-15,36.619999,37.435001,36.200001,37.180000,37.180000,3201500
2019-02-19,37.029999,37.160000,36.110001,36.230000,36.230000,3152300
2019-02-20,36.139999,37.389999,34.790001,34.830002,34.830002,5134900
2019-02-21,34.950001,35.470001,33.680000,35.040001,35.040001,6685100
2019-02-22,37.970001,44.389999,37.209999,44.279999,44.279999,22935300
2019-02-25,43.799999,45.290001,43.000000,43.650002,43.650002,8860400
2019-02-26,43.130001,43.660000,41.020000,42.160000,42.160000,5186400
2019-02-27,41.209999,42.610001,40.310001,41.700001,41.700001,4208800
2019-02-28,41.810001,42.540001,41.389999,41.799999,41.799999,2709100
2019-03-01,41.990002,42.305000,39.590000,40.360001,40.360001,3572300
2019-03-04,40.669998,40.669998,39.400002,39.950001,39.950001,2615300
2019-03-05,39.919998,39.919998,38.740002,39.590000,39.590000,1867300
2019-03-06,39.599998,39.648998,37.759998,38.360001,38.360001,1890200
2019-03-07,38.369999,38.369999,37.240002,37.540001,37.540001,4404100
2019-03-08,37.080002,38.639999,36.970001,38.389999,38.389999,2804400
2019-03-11,38.610001,40.639999,38.509998,40.099998,40.099998,2769600
2019-03-12,40.330002,40.400002,39.029999,39.759998,39.759998,2712200
2019-03-13,39.869999,39.869999,39.139999,39.459999,39.459999,1515600
2019-03-14,39.389999,39.389999,37.990002,38.099998,38.099998,1815700
2019-03-15,36.779999,37.849998,36.699001,37.700001,37.700001,4589800
2019-03-18,37.799999,38.044998,37.299999,37.820000,37.820000,1904800
2019-03-19,37.820000,38.230000,37.389999,37.599998,37.599998,2257600
2019-03-20,38.009998,38.070000,35.459999,35.619999,35.619999,3390900
2019-03-21,35.580002,36.250000,35.049999,36.220001,36.220001,1681600
2019-03-22,35.930000,36.860001,35.599998,35.709999,35.709999,2282400
2019-03-25,35.439999,36.369999,35.040001,35.860001,35.860001,1648500
2019-03-26,36.060001,36.509998,34.980000,35.430000,35.430000,2164100
2019-03-27,35.730000,36.660000,35.020000,35.270000,35.270000,3348000
2019-03-28,35.310001,35.627998,34.180000,34.259998,34.259998,2420200
2019-03-29,34.669998,35.150002,33.805000,34.740002,34.740002,2981200
2019-04-01,35.040001,35.590000,34.849998,35.310001,35.310001,1432500
2019-04-02,35.360001,36.380001,34.820000,36.180000,36.180000,2314200
2019-04-03,36.290001,37.970001,36.230000,37.189999,37.189999,3891500
2019-04-04,37.380001,37.560001,36.430000,37.130001,37.130001,1966900
2019-04-05,37.349998,37.740002,36.939999,37.270000,37.270000,1546100
2019-04-08,38.560001,38.939999,37.450001,37.590000,37.590000,3486500
2019-04-09,37.560001,37.820000,36.950001,37.180000,37.180000,1780800
2019-04-10,36.869999,37.450001,36.750000,37.080002,37.080002,1160400
2019-04-11,36.980000,37.360001,36.340000,37.099998,37.099998,2042000
2019-04-12,37.410000,37.700001,37.060001,37.419998,37.419998,1440500
2019-04-15,37.240002,37.830002,37.230000,37.470001,37.470001,1808000
2019-04-16,37.590000,38.410000,37.528999,38.169998,38.169998,1339600
2019-04-17,38.240002,38.360001,36.790001,36.980000,36.980000,1502000
2019-04-18,36.830002,37.009998,35.849998,36.279999,36.279999,1744100
2019-04-22,36.200001,36.240002,34.869999,34.919998,34.919998,2664000
2019-04-23,35.080002,36.419998,34.970001,35.669998,35.669998,2409900
2019-04-24,35.590000,35.860001,34.139999,34.570000,34.570000,3412200
2019-04-25,34.820000,34.820000,33.669998,34.110001,34.110001,2057200
2019-04-26,34.169998,34.349998,33.730000,34.250000,34.250000,1566400
2019-04-29,34.130001,34.580002,33.750000,33.930000,33.930000,3169600
2019-04-30,33.830002,33.980000,32.849998,33.400002,33.400002,6857300
2019-05-01,33.549999,33.630001,32.480000,32.490002,32.490002,2405300
2019-05-02,32.500000,32.810001,31.745001,32.330002,32.330002,3540400
2019-05-03,32.509998,33.939999,32.270000,33.849998,33.849998,2963900
2019-05-06,32.919998,35.230000,32.639999,34.430000,34.430000,3928600
2019-05-07,33.919998,34.439999,33.320000,33.810001,33.810001,2436900
2019-05-08,33.619999,35.169998,33.549999,34.849998,34.849998,3436200
2019-05-09,34.310001,35.000000,33.669998,34.270000,34.270000,6330200
2019-05-10,38.799999,39.799999,35.080002,36.000000,36.000000,20064600
2019-05-13,35.130001,36.880001,34.549999,35.860001,35.860001,4680600
2019-05-14,36.240002,37.639999,35.750000,36.900002,36.900002,3905500
2019-05-15,37.330002,39.090000,37.119999,38.560001,38.560001,4816800
2019-05-16,38.270000,39.845001,38.209999,39.130001,39.130001,5154400
2019-05-17,38.660000,40.790001,38.599998,40.250000,40.250000,3828200
2019-05-20,39.660000,41.320000,39.450001,40.369999,40.369999,3450000
2019-05-21,40.570000,41.966999,40.570000,41.610001,41.610001,3027800
2019-05-22,41.380001,42.599998,41.380001,42.250000,42.250000,4778000
2019-05-23,41.830002,42.119999,40.509998,41.509998,41.509998,4995600
2019-05-24,42.000000,42.349998,41.560001,41.860001,41.860001,3505100
2019-05-28,42.049999,42.529999,41.639999,41.680000,41.680000,3295700
2019-05-29,42.840000,43.099998,41.840000,42.529999,42.529999,2915700
2019-05-30,42.650002,44.090000,42.650002,43.700001,43.700001,3301000
2019-05-31,43.029999,43.650002,42.855000,43.020000,43.020000,3076200
2019-06-03,42.720001,43.320000,41.630001,42.080002,42.080002,3837200
2019-06-04,42.310001,44.389999,42.310001,44.360001,44.360001,3475300
2019-06-05,44.480000,46.470001,43.810001,46.310001,46.310001,4059600
2019-06-06,46.189999,47.270000,46.099998,47.139999,47.139999,2641700
2019-06-07,47.389999,48.669998,46.310001,46.540001,46.540001,1988200
2019-06-10,46.950001,47.419998,45.840000,46.090000,46.090000,2602100
2019-06-11,46.939999,46.939999,45.250000,45.750000,45.750000,2487300
2019-06-12,45.669998,46.130001,44.070000,44.840000,44.840000,2319600
2019-06-13,44.820000,46.500000,44.580002,45.980000,45.980000,2567400
2019-06-14,45.990002,46.490002,44.880001,45.389999,45.389999,2032600
2019-06-17,45.720001,46.250000,45.290001,46.110001,46.110001,1267800
2019-06-18,46.520000,47.040001,46.029999,46.459999,46.459999,2771400
2019-06-19,46.500000,46.740002,44.720001,45.410000,45.410000,3342800
2019-06-20,46.290001,46.930000,46.009998,46.759998,46.759998,3436200
2019-06-21,46.410000,46.880001,45.294998,45.310001,45.310001,2264500
2019-06-24,45.290001,46.250000,44.919998,46.009998,46.009998,2278900
2019-06-25,46.049999,46.060001,42.869999,43.020000,43.020000,2395700
2019-06-26,43.240002,44.160000,42.970001,43.910000,43.910000,2448000
2019-06-27,43.950001,44.880001,43.680000,44.849998,44.849998,1843700
2019-06-28,44.950001,46.680000,44.861000,46.389999,46.389999,4080400
2019-07-01,46.950001,47.779999,46.669998,47.580002,47.580002,2926900
